Entity1,Entity2,Relation,Example
福特,Argo AI,company/company/acquisition,上周五，福特宣布，它们以10亿美元的价格收购了一家人工智能初创公司Argo AI的大部分股权
恒大,万科,company/company/acquisition,消息面上，据恒大披露在8月16日至11月9日期间，继续收购了万科1.467%的股份，代价42亿元
福特,Argo AI,company/company/acquisition,其实对于Argo AI的收购并不是福特在出行服务领域迈出的第一步
KSS,高田,company/company/acquisition,但是大部分汽车配件业内人士并不看好KSS收购日本高田，因为日本高田公司的情况太过复杂，它与丰田、本田、日产等日本车企之间早就交叉持股，不管出于利益关系还是民族感情，日方对中方入主高田的排斥心理可以预见
谷歌,Skybox,company/company/acquisition,不过，Skybox在被谷歌收购之后，发射的卫星数量并不多，只发射过7颗小型卫星
微软,LinkedIn,company/company/acquisition,微软耗资收购职业社交网站LinkedIn是为了推动营收增长
富士康,夏普,company/company/acquisition,去年，富士康收购了夏普，为了利用好夏普的技术和品牌
谷歌,Deep Mind,company/company/acquisition,当Deep Mind2014年被谷歌用四亿英镑收购时，双方协议中就有一项：“禁止将该技术应用于军事或情报用途
吉利,宝腾,company/company/acquisition,在中国的第二次合资仍然前途未卜，宝腾进入中国市场寻求复兴的愿望恐怕要寄托于此次被吉利收购，吉利或将完成又一桩国际收购，进入日系车企业主导的东盟市场
雅诗兰黛,Too Faced,company/company/acquisition,雅诗兰黛最新收购的网红彩妆牌Too Faced在Instagram上拥有800万粉丝，这正是老化的雅诗兰黛迫切需要的
微软,诺基亚,company/company/acquisition,几经风波的诺基亚在2013年被微软收购， 而合约在2016年终于到期
欧莱雅,美即,company/company/acquisition,国际日化巨头欧莱雅集团宣布收购美即控股全部股份，总价为65.38亿港元（当时约合51亿元人民币）
谷歌,Nest,company/company/acquisition,2014年6月，谷歌通过Nest耗资5.55亿美元收购了基于云端的家庭监控公司Dropcam，10月又收购了智能家居中枢控制设备公司Revolv，Revolv将参与Nest “Works with Nest”开放计划
软银,ARM,company/company/acquisition,同时，软银集团此前收购了英国ARM控股公司
欧莱雅,美即,company/company/acquisition,或许是对欧莱雅收购后的定位不能认同，一时间美即的多位创始人也开始离职
雪铁龙,欧宝,company/company/acquisition,2月14日，法国标致雪铁龙集团（PSA）与通用汽车同时发布声明称，目前双方正寻求新合作可能性，包括可能由PSA收购通用旗下欧宝和沃克斯豪尔品牌
苹果,RealFace,company/company/acquisition,当苹果收购以色列公司RealFace时，人们开始猜测苹果将会集成面部识别功能
吉利,沃尔沃,company/company/acquisition,要说收购沃尔沃之后最大的成就，就是CMA平台了，虽然是沃尔沃和吉利共同研发，不过所有权归吉利汽车，未来沃尔沃和吉利的小型、紧凑型车都采用此平台
谷歌,Terra Bella,company/company/acquisition,Terra Bella被谷歌收购后，成长速度就有所放缓，而Planet则不断融到资金，并向太空发射大量卫星
谷歌,Terra Bella,company/company/acquisition,2014年，谷歌以5亿美元的价格收购了Skybox，后改名为Terra Bella
雪铁龙,通用,company/company/acquisition,收购通用汽车旗下的欧宝(Opel)和沃克斯豪尔(Vauxhall)品牌，将为标致雪铁龙集团赢得欧洲乘用车市场16.3%的份额，使其超越法国竞争对手雷诺汽车跃居第二，仅次于德国大众汽车
富士康,夏普,company/company/acquisition,收购夏普为郭台铭提供了一个自主消费电子品牌，提升了富士康在智能机和电视屏幕市场的竞争力
阿里,Lazada,company/company/acquisition,阿里在今年4月份以10亿美元收购了新加坡电商公司Lazada的控股权，从而立即进入了东南亚六大市场：印尼、泰国、新加坡、马来西亚、菲律宾以及越南
思科,AppDynamics,company/company/acquisition,思科宣布其收购AppDynamics公司的意向，这是一家从事应用智能软件业务的私人公司
微软,Maluuba,company/company/acquisition,而微软切入人工智能的方式在自主研发人工智能的同时还通过收购初创公司Maluuba做多重准备
戴尔,EMC,company/company/acquisition,2016年，IT巨头戴尔迎来了自己新一轮的发展高潮：随着美国和欧洲的监管机构都放行了戴尔对EMC的收购计划
通用,Cruise Automation,company/company/acquisition,我们不妨看看过去一年中，哪些企业都在做智能汽车的布局： 2016年3月，通用汽车公司收购位于旧金山的 Cruise Automation 公司
通用,Lyft,company/company/acquisition,拒绝通用公司60亿美元收购 打车软件Lyft拟报价百亿 凤凰科技讯 北京时间8月30日消息，据外媒报道，通用汽车（General Motors）曾拟出价约60亿美元收购打车应用Lyft（包括Lyft所持有的14亿美元现金在内），但未能达成最终协议
雪铁龙,通用,company/company/acquisition,新的一年，众品牌都在规划各自的未来计划，标致雪铁龙集团正在进行与通用汽车公司商谈收购欧宝汽车的计划，如果成功，欧洲第二大汽车制造商将移位
雪铁龙,通用,company/company/acquisition,对于标致雪铁龙集团而言，收购通用汽车的欧宝和沃克斯豪尔品牌可以让其在欧洲乘用车所占市场份额提升至16.3%，使其超过雷诺集团成为欧洲市场仅落后于大众的第二大车企
微软,领英,company/company/acquisition,微软周四宣布，已正式完成262亿美元收购职业社交网站领英的交易
吉利,沃尔沃,company/company/acquisition,7年前，吉利18亿美元收购了沃尔沃汽车的全部实物资产和无形资产，也就是100%的股份，在大多数人看来，有点蛇吞大象的意思
微软,Maluuba,company/company/acquisition,根据华尔街日报的报道，微软这次收购 Maluuba 公司的目的，就是为了开发通用 AI
苹果,PrimeSense,company/company/acquisition,苹果从PrimeSense收购中获得的一份专利，跟3D深度摄像头有关的技术
联想,摩托罗拉,company/company/acquisition,于是，在出资29亿美元收购摩托罗拉移动3年后，联想智能手机业务在市场份额上仍落于vivo、OPPO以及华为
谷歌,Deep Mind,company/company/acquisition,其中最大一笔收购是谷歌于2014年以4亿美元的价格收购了DeepMind，目前，谷歌团队正在推动DeepMind的技术突破极限
苏宁,天天快递,company/company/acquisition,??苏宁物流捷报频传：自主研发了乐高平台、大手笔收购了天天快递、打造了亚洲最大的智慧物流基地
联想,摩托罗拉,company/company/acquisition,在联想收购摩托罗拉之后，摩托罗拉就没给联想带来多大利润
万达,传奇影业,company/company/acquisition,与此同时，投资领域也愈加多元化，过去多是能源方面的海外并购，而现在能源资源领域的投资占比已经下降到不足20%，而第三产业的并购占比在迅速增加，像海尔收购GE家电、万达收购传奇影业、腾讯并购游戏厂商Supercell等等，也包括我们收购Moto和IBM?System X，美的以300亿人民币收购德国机器人制造商库卡，更是开启了中国企业收购高端制造业之先河
谷歌,波士顿动力,company/company/acquisition,2013年，谷歌高调收购波士顿动力
谷歌,Nest,company/company/acquisition,从谷歌重金收购Nest到苹果推出HomeKit，小米、联想也纷纷涉足智能插座
惠普,SGI,company/company/acquisition,去年，惠普企业(HPE)收购了大名鼎鼎的SGI (原名硅谷图像公司)，为进军HPC做准备
吉利,沃尔沃,company/company/acquisition,2010年3月，吉利耗资18亿美元，从福特手里收购了持续亏损的沃尔沃轿车100%股权，运用杠杆收购，吉利将当时总营收超过自己20倍的豪华车巨头收入囊中
阿里巴巴,豌豆荚,company/company/acquisition,　“并入阿里巴巴，恰好能增强豌豆荚应用分发业务在这上面的工作
腾讯,Supercell,company/company/acquisition,“整个市场的规模吸引了传统巨头游戏公司的投资，促成动视暴雪、腾讯分别收购了King和Supercell
腾讯,Supercell,company/company/acquisition, 2016年，腾讯公司还花费超过80多亿美元，收购了芬兰的SuperCell游戏公司
吉利,沃尔沃,company/company/acquisition,我们都知道，吉利在收购了沃尔沃之后不仅在实力有了大幅度提升，在外观设计上也有了长足进步，最近吉利刚刚发布的两款车就用实际行动证实了自己强大的设计能力
吉利,宝腾,company/company/acquisition,吉利这次收购宝腾，那么吉利控股集团有望收购宝腾汽车 51% 的股权，如果成功达成此项交易，吉利将获得宝腾在马来西亚的全部生产线，其战略意义有两点： 　　1、进一步丰富产品线，整合技术2、以免关税进入东盟市场，要知道马来西亚对进口汽车征收高额关税，以保护本土汽车产商！ 　　不管怎么说，期待吉利成功收购，你们说是吧！
雪铁龙,欧宝,company/company/acquisition,收购通用汽车旗下的欧宝(Opel)和沃克斯豪尔(Vauxhall)品牌，将为标致雪铁龙集团赢得欧洲乘用车市场16.3%的份额，使其超越法国竞争对手雷诺汽车跃居第二，仅次于德国大众汽车
通用,Cruise,company/company/acquisition,10亿美元投资自动驾驶创业公司 福特意欲何为？ 在此之前，通用以 10 亿美元的价格收购了 Cruise
雪铁龙,通用,company/company/acquisition,日前，有海外媒体报道称，标致雪铁龙集团（PSA）正在与通用汽车公司商谈收购欧宝汽车的计划，双方将在未来几周内达成协议，但不排除谈判失败的可能
通用,欧宝,company/company/acquisition,1929 年，通用汽车收购了欧宝 80% 的股份
阿里,Lazada,company/company/acquisition,阿里宣布收购Lazada时，阿里巴巴总裁迈克?埃文斯(Michael Evans)称，“投资Lazada将使阿里巴巴得以进军一个消费者基数庞大且在不断增长的海外市场，而且这个平台有着经验丰富的管理团队和稳固的基础
通用,Cruise Automation,company/company/acquisition,不久前通用汽车以超过10亿美元的价格收购Cruise Automation
腾讯,Supercell,company/company/acquisition,最典型案例当属收购芬兰游戏开发商Supercell，这也是目前腾讯最大的一笔海外投资
微软,领英,company/company/acquisition,微软对于领英的收购交易是纳德拉担任微软CEO以来最大胆的一次冒险
通用,CruiseAutomation,company/company/acquisition,福特的竞争对手通用汽车2016年3月曾宣布收购自动化初创公司CruiseAutomation，并最终以5.81亿美元的高价完成收购
微软,Sunrise,company/company/acquisition,2015年微软收购了流行线上日历管理应用Sunrise，去年却关闭了程序
苏宁,国际米兰,company/company/acquisition,　　去年夏天，苏宁以2.7亿欧元收购了国际米兰70%的股权，成为俱乐部第一大股东，随后在转会市场上砸1亿欧元签下了坎德雷瓦、加布里埃尔和若奥-马里奥等球星，并且邀请德波尔接替曼奇尼执教蓝黑军团
苏宁,天天快递,company/company/acquisition,苏宁收购天天快递双方目前已就订单配送系统进行对接，接下来苏宁物流与天天快递在北京地区的分拨中心也将合并，6月完成整合
谷歌,Urban Engines,company/company/acquisition,腾讯科技讯 9月16日，谷歌刚刚收购了城市规划相关位置数据分析服务提供商Urban Engines公司，以此强化谷歌地图（Google Maps）的位置分析功能
步步高,梅西商业,company/company/acquisition,今年的2月24日，步步高发布公告称，拟以2.26亿元收购梅西商业有限公司(以下简称“梅西商业”)94%股权
万达,传奇影业,company/company/acquisition,消息一出，顿时引起业内高度关注，而此次突然杀出的传奇影业，也让不少人不禁联系到万达集团于去年收购的美国好莱坞电影公司传奇影业
微软,Maluuba,company/company/acquisition,就在近日，微软刚收购一家名为Maluuba的加拿大AI公司，后者技术主要用于利用深度学习和强化学习技术来提高计算机系统的熟练程度和有效性
吉利,沃尔沃,company/company/acquisition,吉利自从收购了沃尔沃之后，发展之路可谓是顺风顺水！近日，有外媒报道，吉利很有可能再下一城，收购马来西亚最大的汽车集团-宝腾汽车！进而进入东盟这个拥有这7亿人口的市场！ 　　消息还没有被吉利官方证实，不过既然有媒体报道，就不会是空穴来风，我们来分析下： 　　马来西亚国家汽车发展计划在 1979 年由时任总理马哈蒂尔提出，1982 年获得内阁通过，1983 年宝腾汽车公司成立
苏宁,天天快递,company/company/acquisition,苏宁云商2日晚间宣布，旗下子公司江苏苏宁物流有限公司将收购天天快递全部股份，估值为42.5亿元。
雪铁龙,欧宝,company/company/acquisition,日前，法国 PSA 集团——也就是标致和雪铁龙汽车的生产商，正在与通用汽车商讨收购后者的欧洲子公司欧宝
苹果,Metaio,company/company/acquisition,最近，苹果收购了一些AR公司，比如德国企业Metaio
万达,传奇影业,company/company/acquisition,2016年1月，万达集团宣布以不超过35亿美元现金收购美国好莱坞巨头传奇影业公司
福特,Argo AI,company/company/acquisition,对于Argo AI的收购显然会增强福特在无人驾驶领域的信心，也会进一步提速福特相关项目的研发和商用进程――毕竟这一次，福特瞄准的目标是在2021年能够实现达到SAE 4级标准（没有方向盘、油门以及刹车）的无人驾驶汽车的量产和商用
吉利,沃尔沃,company/company/acquisition,2009年加盟吉利并购沃尔沃项目，作为并购项目首席运营官和中国区CEO，参与并购的落地工作，全面负责中国区全产业链布局和团队建设，为成功收购沃尔沃，实现沃尔沃业务的全面复兴做出了巨大贡献
诺基亚,Deepfield,company/company/acquisition,在2017年世界移动通信大会上，诺基亚对其近期所收购公司Deepfield的尖端分析技术进行了演示
谷歌,Nest,company/company/acquisition,如谷歌先后收购Nest、Dropcam、Revolo智能家居公司，同时发布互联网操作系统Brillo与高端路由器OnHub，争夺的是智能家居控制中心
惠普,Niara,company/company/acquisition,Niara 2017年2月2日被惠普收购
腾讯,拳头游戏,company/company/acquisition,2015 年底，腾讯宣布收购拳头游戏，实现了对后者 100% 的控股
吉利,沃尔沃,company/company/acquisition,回顾吉利的这段发展历程，有创业时期的筚路蓝缕和受到的冷嘲热讽，也有美日、自由舰以及美人豹等令人印象深刻的车型，更有入股英国锰铜，收购沃尔沃、澳大利亚DSI的壮志豪情
阿里巴巴,银泰百货,company/company/acquisition,中国电商巨头阿里巴巴公司将通过一项26亿美元的私有化收购计划掌控银泰百货。本周二两家公司发布这一消息，银泰百货股价应声上涨。
福特,Argo AI,company/company/acquisition,ArgoAI是一家位于匹茨堡的人工智能企业，被福特收购后，将为其开发一款人工智能的虚拟司机系统，以实现福特2021年推出一款全自动无人驾驶汽车的承诺
三星,哈曼国际,company/company/acquisition,2016年11月14日，三星宣布以80亿美元的价格收购哈曼国际
谷歌,Fabric,company/company/acquisition,1月19日，谷歌宣布将收购推特(TWTR)旗下的Fabric手机APP开发平台
谷歌,Planet Labs,company/company/acquisition,不过，Planet Labs的收购价低于谷歌当时收购Skybox时的5亿美元，但这项交易的价格仍在3亿美元以上
苹果,RealFace,company/company/acquisition,在被苹果收购前，RealFace累计融资100万美元，共有10名员工
步步高,梅西商业,company/company/acquisition,对梅西商业的收购，则意味着步步高在四川自贡、眉山、泸州等地快速拥有20家综合商场
富士康,诺基亚,company/company/acquisition,被富士康收购了的诺基亚推出的3310复刻版仍然是一款非智能手机
阿里,豌豆荚,company/company/acquisition,收购不是终点，未来再战 　　豌豆荚的收购方是阿里，多少创业团队都梦寐以求的事儿，但被收购的是曾经的创业明星，还是让人有点觉得可惜
思科,AppDynamics,company/company/acquisition,思科宣布计划以37亿美元收购应用性能监控和管理提供商AppDynamics
欧莱雅,IT Cosmetics,company/company/acquisition,欧莱雅集团通过完成对IT Cosmetics战略性收购
诺基亚,Withings,company/company/acquisition,去年4月份，诺基亚宣布以1.92亿美元的价格收购明星智能手表品牌Withings
PSA,通用,company/company/acquisition,“我完全能够理解通用汽车寻求出售欧洲业务可能性的原因，但PSA为什么会对收购通用汽车欧洲资产表现出如此浓厚的兴趣，就没那么容易理解了
大众,保时捷,company/company/acquisition,同时由于2008年金融危机加重保时捷的资金链压力，2009年保时捷被迫与大众汽车达成合资协议，大众汽车以39亿欧元收购保时捷汽车49.9%股权，同时可以使用认购权买下余下 50.1%股权
华为,HexaTier,company/company/acquisition,据LightReading报道，华为已经证实收购了两家以色列厂商——HexaTier和Toga Networks，两家公司将被纳入其下一代网络和企业安全产品组合
戴尔,EMC,company/company/acquisition,戴尔向全体员工发邮件说：“戴尔收购EMC的计划取得了新的进展，一切都在按照原定计划发展
Google,Limes Audio,company/company/acquisition,1月6日消息，近日Google官方博客宣布，已经收购了瑞典音频信号处理公司Limes Audio，不过对于具体交易金额，谷歌方面并未透露。
吉利,沃尔沃,company/company/acquisition,在吉利收购沃尔沃之后，沃尔沃为其技术反哺的行为我们有目共睹，而越做越好的吉利也收获了相当了得的销售成绩以及品牌形象的大幅提升
百度,渡鸦科技,company/company/acquisition,百度宣布收购渡鸦科技，度秘团队升级为事业部
阿里,Lazada,company/company/acquisition,在收购Lazada后，阿里开始帮助国内零售商家登陆该平台，向东南亚消费者售卖产品
吉利,高田,company/company/acquisition,现在又有一家国际汽车行业巨头要被中国企业收购了，它就是日本高田，而这次收购，则意味着吉利的再次壮大
福特,Argo AI,company/company/acquisition,卡内基梅隆大学计算机工程负责自动驾驶研究的RajRajkumar教授对记者表示：“过去福特在自动驾驶方面可能落后于竞争对手通用、奥迪、沃尔沃、谷歌和Uber，现在福特正在通过收购Argo AI赶上自动驾驶的大潮
吉利,DSI,company/company/acquisition,变速箱方面，与之匹配的是6AT自动变速箱，其技术来自于被吉利收购的澳大利亚DSI变速箱公司，提供普通、运动以及经济三种驾驶模式
阿里,豌豆荚,company/company/acquisition,最重要的是，被阿里并购后，豌豆荚就不至于做一个“穷逼”，没钱没资源和应用宝、百度手机助手、360手机助手们对着干了，其有了更多的底气和实力来做好豌豆荚本身，阿里“爸爸”对自身的产品还是很上心的
阿里,Lazada,company/company/acquisition,今年4月，阿里巴巴宣布斥资10亿美元收购了东南亚地区最大的在线购物网站之一Lazada，阿里在官方声明中表示，这一投资将使其“获得一个巨大且不断增长的国外用户群和一个可靠的管理团队”
华为,HexaTier,company/company/acquisition,"据外媒报道,华为以4200万美元收购了安全领域的初创公司HexaTier,这是华为在本月收购的第二家以色列公司"
微软,Mojang,company/company/acquisition,对于微软来说，一个很好的范例就是在2004年以25亿美元收购《我的世界》游戏开发商Mojang
吉利,沃尔沃,company/company/acquisition,说起自主品牌吉利相信大家都不会陌生，大家都知道吉利汽车自从收购了沃尔沃之后，在不断的吸取一些在造车方面的经验，并且一直在进步，吉利汽车趁着这股热劲推出了吉利博越，博越的上市对于我国汽车市场中的SUV来说是个不小的威胁，因为它的性价比实在太高了，一起来看看吧~ 　　吉利博越外观设计 暖冬送豪礼，购车享优惠更有机会赢取iphone7 意向车型 2017款 1.8TD 自动智联型2016款 2.0L 手动智联型2016款 1.8TD 自动四驱智慧型2016款 1.8TD 自动智尊型2016款 1.8TD 自动智慧型2016款 1.8TD 自动智尚型2016款 1.8TD 手动智慧型2016款 1.8TD 手动智尚型2016款 1.8TD 手动智享型2016款 2.0L 手动智尚型2016款 2.0L 手动智悦型2016款 1.8TD 自动四驱智尊型2015款 概念版 姓名 手机 城市 澳门安徽北京重庆福建广西贵州甘肃广东海南湖南湖北河南河北黑龙江江西吉林江苏辽宁宁夏内蒙古青海上海陕西山西山东四川台湾天津新疆西藏香港云南浙江 南京 提交 广告 吉利汽车 豪礼相送 博越 车系首页|参配|图片|口碑|报价 　　博越的外观并不属于那种惊艳的类型，吉利博越在外观方面采用了许多家族化元素，整体采用了较为厚重的设计语言
吉利,沃尔沃,company/company/acquisition,"沃尔沃销量9.10万,你们猜，如果沃尔沃没被吉利收购，销量会更多还是更少？虽然保时捷是倒数第三，但可千万别小看这品牌的盈利能力，照这个发展速度，保时捷国产并非不可能"
阿里,Lazada,company/company/acquisition,除云计算业务，阿里近期在东南亚最受关注的动作，就是阿里收购了东南亚“淘宝”Lazada
三星,QDvision,company/company/acquisition,三星巨资收购量子点显示技术之父QDvision公司，更加坚定了在量子点电视道路上的前进方向
万达,DCP集团,company/company/acquisition,FX168财经报社(香港)讯大连万达周五(11月4日)宣布以约10亿美元收购美国DCP集团所有股权，标志着万达首次进入电视制作行业，万达娱乐产业版图更趋完善
联想,富士通,company/company/acquisition,或许联想只有通过收购富士通才能继续维持其市场份额第一的位置
雅诗兰黛,Smashbox,company/company/acquisition,在收购?Smashbox时，雅诗兰黛看中的也是该品牌在社交媒体以及年轻人中的影响力
富士康,夏普,company/company/acquisition,"旗下富士康有收购日本夏普(Sharp)的经验,能够协助东芝经营"
阿里巴巴,银泰百货,company/company/acquisition,这就是为什么阿里巴巴出价26亿美元全面收购中国知名的购物中心银泰百货的原因
吉利,莲花汽车,company/company/acquisition,而现在，吉利又要收购一家超跑！与保时捷、法拉利并称世界三大跑车的莲花汽车（Lotus Cars，国内现译为路特斯汽车）如果真能被中国人收入囊中，想想都令人激动呢！ 路透斯汽车（Lotus）成立于1952年，流淌着纯真的英国“血脉”，并且有着一个诗意的名字——莲花
福特,Argo AI,company/company/acquisition,美国汽车研究中心交通行业分析师EricPaulDennis表示，在福特收购这家公司的前十分钟，他还都没有听说过ArgoAI这家公司
雪铁龙,欧宝,company/company/acquisition,各有所需，标致雪铁龙集团(PSA)收购欧宝或成为定局：欧宝作为美国通用汽车公司旗下的子品牌，主营业务集中在欧洲市场，它也是通用在欧洲市场的“主力军”
戴尔,EMC,company/company/acquisition,EMC被戴尔收购之后，其实在除中国以外的地方，组织结构已经实现了融合，已经合并成一家公司
Uber,Otto,company/company/acquisition,Uber 以 6．8 亿美元的价格收购了 Otto
通用,Cruise Automation,company/company/acquisition,我们不妨看看过去一年中，哪些企业都在做智能汽车的布局： 2016年3月，通用汽车公司收购位于旧金山的 Cruise Automation 公司
惠普,Niara,company/company/acquisition,收购Niara是惠普在2017年的第三次收购行动
微软,Linkedin,company/company/acquisition,占据3000亿美金市场份额40%的公司都已经被收购了，其中包括：被微软收购的Linkedin
欧莱雅,美即,company/company/acquisition,其实自从欧莱雅收购美即之后，其原来单片销售模式已经从根本上有了很大的改变
大众,保时捷,company/company/acquisition,在此后的8月13日，大众与保时捷达成了有关合并的协议，在2009年底前大众将斥资约33亿欧元收购保时捷42%的股权
丰田,五十铃,company/company/acquisition,在十多年前，丰田就已经成为富士重工的第一大股东，同一时期也与五十铃合作开发柴油机并收购了后者5.9%的股份；2005年的时候，丰田就入主了斯巴鲁，获得了斯巴鲁类似无框车门和铝合金的防撞梁等高技术，86新车型的诞生就说明了这一点； 2013年的时候，丰田又在燃料电池、跑车、轻量化技术和锂离子电池方面与宝马集团展开合作； 在2016年初，丰田又与福特共同开发Smart Device Link软件技术用于让手机功能更好地嵌入车机；紧接着，又跟马自达展开业务合作，来获得马自达汽车高校的创驰蓝天汽油以及柴油发动机技术
通用,Cruise Automation,company/company/acquisition,去年，通用汽车公司以10亿美元收购了无人驾驶技术初创公司Cruise Automation，并投资5亿美元收购了网约车公司Lyft的9%股份；同样在去年，Uber以6.8亿美元收购无人驾驶技术公司Otto
软银,ARM,company/company/acquisition, 在软银公司于2016年收购ARM的时候，Son曾表示：“ARM将在物联网领域呈现出无处不在的态势
阿里,银泰百货,company/company/acquisition,在虚拟经济和实体经济之争的浪潮中，2017年被阿里定调为“五新”之年，此前与苏宁的合作、收购三江购物、银泰百货私有化等一系列布局成为阿里新零售的前哨
腾讯,Supercell,company/company/acquisition,事实上在国际市场，腾讯更知名的是另一个身份：全球规模最大的游戏公司，在收购游戏公司上频频大手笔：90 亿天价收购《部落冲突》开发商Supercell ，重金收购《英雄联盟》开发商拳头游戏公司
三星,Viv Labs,company/company/acquisition,近日，三星公布了最近收购的虚拟助手初创公司Viv Labs的协议
雪铁龙,通用,company/company/acquisition,通用汽车下跌1%，公司CEO及董事会主席在欧宝总部现身，之前市场消息称法国雪铁龙公司将从公司手中收购欧宝
万达,新媒诚品,company/company/acquisition,12月27日，新三板公司新媒诚品（834522）宣布，公司实际控制人尹香今与万达影视传媒有限公司（以下简称 “万达影视”）达成的框架收购协议，万达影视将收购新媒诚品100%股权
联想,IBM,company/company/acquisition,联想收购IBM之后，整合得力，最近几年一直是全球PC市场王者
戴尔,EMC,company/company/acquisition,惠特曼更是直接抛出“戴尔斥资670亿美元对EMC的收购将令双方背负巨额债务”的“精准预言”
吉利,沃尔沃,company/company/acquisition,这几年自主车企竞争力越来越大，长城汽车依靠哈弗系列的多款车型一直保持销量第一的位置，吉利汽车在收购沃尔沃后也一直是自主品牌的中尖力量
百度,91应用商店,company/company/acquisition,薛永锋认为，百度在移动互联网时代开始有点滞后，后来通过收购91应用商店，希望通过现金来换时间，目前看来，百度移动端虽然收入不错，但是并没有创新性的业务
雅诗兰黛,BECCA,company/company/acquisition,上一次收购发生在今年10月21日，雅诗兰黛宣布收购了美国彩妆品牌BECCA
谷歌,Alpental,company/company/acquisition,2014年6月谷歌收购了5G网络技术创业公司Alpental
腾讯,Supercell,company/company/acquisition,移动游戏领域出现了生命周期缩短现象，也引发了一些行业内新动向，即收购兼并变得更加活跃，去年移动游戏领域的并购金额创造了新历史纪录，其中腾讯公司收购Supercell，占到了三分之一的收购总金额
吉利,沃尔沃,company/company/acquisition,不过收购沃尔沃之后，对吉利有什么好处呢？没有用沃尔沃的平台、没有用发动机、还有那些特有的安全技术，吉利和沃尔沃还是两个独立轨道运营的兄弟品牌
腾讯,Supercell,company/company/acquisition,腾讯去年也以86亿美金收购《部落冲突》游戏开发商Supercell的84.3%股权
欧莱雅,美即,company/company/acquisition,因在国内市场的优势，美即面膜最终被欧莱雅收购
福特,法拉利,company/company/acquisition,60 年代初，福特汽车为进军欧洲，尝试收购陷入财务危机的法拉利，但在赛车业务遭到拒绝，为了羞辱法拉利，福特作为厂商车队开始了勒芒之旅
阿里巴巴,Lazada,company/company/acquisition,而在去年阿里收购Lazada后，该市场的热度持续上涨
联想,Medion AG,company/company/acquisition,联想集团则在2011年时收购过德国计算机、电子产品生产商Medion AG
雅诗兰黛, Le Labo,company/company/acquisition,法国高端香水品牌 Le Labo 被雅诗兰黛收购
欧莱雅,美即,company/company/acquisition,虽然欧莱雅对收购来的美即换LOGO，成立面膜专研中心，推出新品类
吉利,沃尔沃,company/company/acquisition,吉利自从收购沃尔沃以后，多年来自主技术越发精湛，而其旗下神车层出不穷，其中的GX7更是年销10万台，成为吉利非常有出息的一个孩子
联想,诺基亚,company/company/acquisition,诺基亚最终被微软收购，但基本上已经改头换面，不再有独立的手机品牌出现
富士康,夏普,company/company/acquisition,就在富士康收购夏普之后，这家日本液晶面板厂商表示将停止向三星提供液晶面板组件
吉利,沃尔沃,company/company/acquisition,说到国内汽车品牌海外收购，印象最深的就属吉利了，先后收购世界第二大变速器公司DSI（DSI现在已被吉利出售）、沃尔沃轿车、英国猛铜公司（13年以前只是控股，13年2月才全资收购）
三星,Siri,company/company/acquisition,三星2亿刀收购Siri创始团队
联想,摩托罗拉,company/company/acquisition,"收购摩托罗拉手机业务近两年后,联想再次“瘦身”"
欧莱雅,美即,company/company/acquisition,在欧莱雅收购美即后，遭遇微商的迅猛发展，面膜成为当时微商渠道销售最火的品类
微软,Maluuba,company/company/acquisition,今年1月14日，微软也对外宣布，已完成人工智能初创公司Maluuba的收购工作
微软,Maluuba,company/company/acquisition,本周五，微软通过博客宣布已经收购了人工智能初创公司Maluuba
谷歌,Nest,company/company/acquisition,外界认为，谷歌收购Nest是一个错误
雪铁龙,通用,company/company/acquisition,标致雪铁龙集团和通用汽车称，标致雪铁龙集团与通用正寻求盈利能力以及运营效率提升，可能会由标致雪铁龙集团收购通用旗下欧宝/沃克斯豪尔品牌，不过“目前不保证能达成协议”
雪铁龙,通用,company/company/acquisition,2月14日，法国标致雪铁龙集团（PSA）与通用汽车同时发布声明称，目前双方正寻求新合作可能性，包括可能由PSA收购通用旗下欧宝/沃克斯豪尔品牌
腾讯,Rio Games,company/company/acquisition,这可不是假话，你知道腾讯最赚钱的王牌游戏lol（英雄联盟），其实是美国Rio Games公司的产品，这家公司已经被腾讯100%收购
诺基亚,Withings,company/company/acquisition,诺基亚高管透漏，诺基亚将会把去年收购的智能穿戴厂商Withings进行改名
万达,传奇影业,company/company/acquisition,此外，被万达并购的传奇影业，也在打造自家的“怪兽电影宇宙”，以期将金刚、哥斯拉等怪兽的利益最大化
福特,Argo AI,company/company/acquisition,福特收购Argo AI，10亿美元布局无人驾驶
微软,Maluuba,company/company/acquisition, 微软收购人工智能初创公司Maluuba 微软宣布它已经完成了对人工智能初创公司Maluuba的收购
吉利,DSI,company/company/acquisition,吉利博瑞搭载了吉利最新研发的1.8L涡轮增压直喷发动机，这台发动机在5500rpm时拥有120kW的最大功率，在1500-4500rpm时能够持续爆发出250Nm的最大扭矩，而与这款发动机匹配的就是6速手自一体变速器，这款变速器大家也很熟悉了，就是收购了澳大利亚自动变速器公司DSI之后在很多车型上使用的6AT，所以从技术上说也相当成熟
阿里巴巴,豌豆荚,company/company/acquisition,互联网圈子 豌豆荚确认 “卖身” 阿里巴巴 昨日下午，豌豆荚宣布，其应用分发业务将并入阿里巴巴移动事业群，双方已正式签订并购协议
